City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
smithers,54.78,-127.17,30.2,80,40,9.17,CA,1609724376
rikitea,-23.12,-134.97,77.92,80,2,17.38,PF,1609724377
trairi,-3.28,-39.27,79.05,82,30,8.84,BR,1609724773
nyurba,63.28,118.33,-36.47,82,77,4.07,RU,1609724773
tuatapere,-46.13,167.68,63.0,67,90,8.99,NZ,1609724377
north bend,43.41,-124.22,54.0,93,90,12.75,US,1609724774
saint george,37.1,-113.58,46.99,39,100,1.79,US,1609724335
east london,-33.02,27.91,72.36,86,1,8.05,ZA,1609724378
guerrero negro,27.98,-114.06,58.95,77,0,11.52,MX,1609724378
port elizabeth,-33.92,25.57,69.8,100,75,4.7,ZA,1609724378
talnakh,69.49,88.4,1.4,84,90,8.95,RU,1609724378
busselton,-33.65,115.33,71.01,51,0,7.0,AU,1609724379
arraial do cabo,-22.97,-42.03,74.16,88,100,8.57,BR,1609724379
bredasdorp,-34.53,20.04,69.8,83,60,9.17,ZA,1609724227
qaanaaq,77.48,-69.36,4.95,85,100,1.92,GL,1609724379
narsaq,60.92,-46.05,18.23,92,100,11.25,GL,1609724379
arlit,18.74,7.39,73.22,21,0,5.55,NE,1609724776
albany,42.6,-73.97,33.01,86,100,4.76,US,1609724107
kapaa,22.08,-159.32,78.8,74,20,14.99,US,1609724380
yellowknife,62.46,-114.35,-5.01,76,75,4.7,CA,1609724145
manado,1.49,124.85,75.2,94,75,4.7,ID,1609724777
jamestown,42.1,-79.24,34.0,98,90,5.82,US,1609724381
longyearbyen,78.22,15.64,39.2,69,40,32.21,SJ,1609724381
codrington,-38.27,141.97,58.41,79,100,16.75,AU,1609724381
butaritari,3.07,172.79,82.04,80,96,19.26,KI,1609724381
shimoda,34.67,138.95,51.8,62,75,2.24,JP,1609724382
mayor pablo lagerenza,-19.93,-60.77,82.26,59,62,6.69,PY,1609724778
tual,-5.67,132.75,84.49,76,92,9.95,ID,1609724345
hobart,-42.88,147.33,66.99,63,75,9.17,AU,1609724382
kaitangata,-46.28,169.85,62.01,59,100,8.99,NZ,1609724383
iranshahr,27.2,60.68,37.33,57,0,1.05,IR,1609724779
klaksvik,62.23,-6.59,42.8,93,97,17.22,FO,1609724759
bethel,41.37,-73.41,32.0,95,90,4.7,US,1609724099
kodiak,57.79,-152.41,24.8,79,20,4.7,US,1609724383
punta arenas,-53.15,-70.92,46.4,65,28,11.41,CL,1609724384
raudeberg,61.99,5.14,28.4,79,1,8.05,NO,1609724780
torbay,47.67,-52.73,34.0,94,90,18.34,CA,1609724117
hithadhoo,-0.6,73.08,82.94,74,62,7.94,MV,1609724342
marsh harbour,26.54,-77.06,74.75,69,76,9.86,BS,1609724780
touros,-5.2,-35.46,78.8,83,75,8.05,BR,1609724385
ushuaia,-54.8,-68.3,44.6,65,40,23.04,AR,1609724334
urubicha,-15.38,-62.95,75.83,82,26,3.47,BO,1609724781
auki,-8.77,160.7,88.16,58,97,6.13,SB,1609724385
new norfolk,-42.78,147.06,66.99,63,75,9.17,AU,1609724385
grand gaube,-20.01,57.66,72.0,86,1,3.0,MU,1609724219
bluff,-46.6,168.33,63.0,67,99,8.99,NZ,1609724386
seredka,58.16,28.19,30.2,92,90,2.42,RU,1609724782
upernavik,72.79,-56.15,13.44,93,100,7.47,GL,1609724386
ust-tsilma,65.44,52.15,3.6,93,94,6.98,RU,1609724387
mount isa,-20.73,139.5,87.8,45,0,8.05,AU,1609724387
camacha,33.08,-16.33,60.8,72,40,16.11,PT,1609724783
saint-pierre,-21.34,55.48,75.2,73,0,8.05,RE,1609724387
hermanus,-34.42,19.23,71.01,83,52,5.01,ZA,1609724387
leningradskiy,69.38,178.42,-10.07,89,36,4.61,RU,1609724783
mehamn,71.04,27.85,34.29,91,100,16.98,NO,1609724582
lindsay,36.2,-119.09,57.2,58,1,3.36,US,1609724784
asosa,10.07,34.53,65.37,35,98,5.73,ET,1609724784
iqaluit,63.75,-68.51,-0.4,70,90,3.36,CA,1609724209
uvat,59.14,68.9,-15.93,86,100,8.37,RU,1609724784
lebu,-37.62,-73.65,55.92,71,0,21.32,CL,1609724293
dikson,73.51,80.55,-2.99,85,14,14.29,RU,1609724389
thompson,55.74,-97.86,5.0,84,90,5.82,CA,1609724337
castro,-24.79,-50.01,59.07,91,94,10.13,BR,1609724291
natchitoches,31.77,-93.13,51.8,71,1,8.43,US,1609724785
puerto ayora,-0.74,-90.35,73.99,92,9,6.89,EC,1609724221
santa cruz,-17.8,-63.17,80.6,78,75,4.7,BO,1609724390
rabaul,-4.2,152.17,85.01,64,94,4.94,PG,1609724786
hofn,64.25,-15.21,45.46,85,94,43.02,IS,1609724786
chokurdakh,70.63,147.92,-28.52,86,63,5.28,RU,1609724391
faizabad,26.78,82.13,61.47,59,80,3.24,IN,1609724787
tasiilaq,65.61,-37.64,28.4,79,100,19.46,GL,1609724392
karratha,-20.74,116.85,99.21,25,73,10.94,AU,1609724392
kachiry,53.07,76.1,-27.87,84,0,5.84,KZ,1609724788
mataura,-46.19,168.86,63.0,67,99,8.99,NZ,1609724392
muros,42.78,-9.06,36.0,96,72,2.33,ES,1609724788
saint-joseph,-21.37,55.62,75.2,73,0,8.05,RE,1609724393
capitao poco,-1.75,-47.06,73.94,92,100,3.96,BR,1609724788
rio grande,-32.03,-52.1,73.99,79,0,4.0,BR,1609724393
barrow,71.29,-156.79,-0.4,70,90,11.41,US,1609724350
ancud,-41.87,-73.82,55.0,62,0,8.05,CL,1609724393
port alfred,-33.59,26.89,72.0,93,34,2.82,ZA,1609724199
blagoyevo,63.37,47.92,7.3,94,91,7.07,RU,1609724790
luau,-10.71,22.22,64.29,99,100,2.1,AO,1609724790
nara,34.69,135.8,48.99,52,75,4.7,JP,1609724395
rio gallegos,-51.62,-69.22,51.8,40,0,20.8,AR,1609724395
pirai,-22.63,-43.9,75.2,83,75,4.7,BR,1609724791
la orilla,17.98,-102.23,75.6,72,0,1.54,MX,1609724791
kenora,49.82,-94.43,32.0,97,75,8.05,CA,1609724791
atuona,-9.8,-139.03,78.24,74,100,15.75,PF,1609724396
daru,-9.08,143.21,81.57,83,97,13.91,PG,1609724791
buala,-8.14,159.59,86.11,62,100,7.85,SB,1609724396
cherskiy,68.75,161.3,-27.04,85,82,4.05,RU,1609724330
kutum,14.2,24.67,54.73,38,0,4.07,SD,1609724792
kirakira,-10.45,161.92,85.46,68,100,9.35,SB,1609724792
batagay,67.63,134.63,-38.49,79,88,1.86,RU,1609724397
cabo san lucas,22.89,-109.91,69.8,49,5,8.05,MX,1609724378
tiksi,71.69,128.87,-19.61,82,10,4.38,RU,1609724397
cape town,-33.93,18.42,69.01,82,0,10.29,ZA,1609724342
paamiut,61.99,-49.67,25.07,96,100,20.13,GL,1609724793
shelburne,44.08,-80.2,30.99,96,93,3.89,CA,1609724658
faanui,-16.48,-151.75,80.55,74,94,14.81,PF,1609724398
esperance,-33.87,121.9,66.2,52,90,12.75,AU,1609724330
nikolskoye,59.7,30.79,26.6,92,90,2.24,RU,1609724399
lavrentiya,65.58,-171.0,-6.54,89,9,15.21,RU,1609724399
hasaki,35.73,140.83,45.0,52,75,3.36,JP,1609724392
soyo,-6.13,12.37,77.56,89,100,6.38,AO,1609724400
geraldton,-28.77,114.6,89.6,24,71,27.51,AU,1609724400
carnarvon,-24.87,113.63,78.8,83,40,12.75,AU,1609724400
georgetown,5.41,100.34,78.8,88,20,3.36,MY,1609724400
port hardy,50.7,-127.42,42.8,93,75,16.11,CA,1609724714
lafiagi,8.87,5.42,77.86,55,0,2.33,NG,1609724728
puerto lopez,4.08,-72.96,78.01,67,65,6.15,CO,1609724797
elos,36.83,22.7,63.0,67,100,12.75,GR,1609724797
shingu,33.73,135.98,44.6,56,40,14.99,JP,1609724403
korla,41.76,86.15,14.02,82,42,8.41,CN,1609724797
takoradi,4.88,-1.76,78.37,87,0,7.56,GH,1609724798
erenhot,43.65,111.98,-12.82,84,0,9.75,CN,1609724798
kruisfontein,-34.0,24.73,69.01,93,62,3.06,ZA,1609724404
vila franca do campo,37.72,-25.43,59.0,93,75,25.28,PT,1609724404
chuy,-33.7,-53.46,68.83,87,0,10.85,UY,1609724404
otterup,55.52,10.4,34.0,86,4,7.0,DK,1609724799
surat thani,9.17,99.25,84.99,88,75,4.7,TH,1609724799
arkhangelskaya,45.68,40.28,40.14,82,0,18.43,RU,1609724799
contamana,-7.33,-75.02,78.89,77,100,1.45,PE,1609724799
abu samrah,35.3,37.18,50.97,66,4,6.26,SY,1609724405
broken hill,-31.95,141.43,78.8,44,3,13.87,AU,1609724406
altus,34.64,-99.33,46.4,61,1,4.7,US,1609724610
san patricio,28.02,-97.52,57.99,87,20,10.29,US,1609724800
aljezur,37.32,-8.8,47.77,74,90,3.36,PT,1609724800
svetlogorsk,52.63,29.73,35.55,95,100,11.68,BY,1609724801
maceio,-9.67,-35.74,73.4,94,20,5.82,BR,1609724377
valle de banderas,20.8,-105.23,68.0,88,5,1.77,MX,1609724557
san marcos,33.14,-117.17,55.99,82,75,2.48,US,1609724801
norman wells,65.28,-126.83,-13.0,75,75,6.93,CA,1609724407
tazovskiy,67.47,78.7,-18.76,88,32,9.04,RU,1609724802
mahanoro,-19.9,48.8,72.36,81,89,5.48,MG,1609724669
at-bashi,41.17,75.81,2.21,48,0,0.63,KG,1609724802
lorengau,-2.02,147.27,83.07,79,100,11.52,PG,1609724228
tezu,27.92,96.17,65.7,27,1,0.87,IN,1609724803
moerai,-22.43,-151.33,80.65,72,59,16.64,PF,1609724803
orebro,59.27,15.21,30.2,80,70,9.17,SE,1609724803
ribeira grande,38.52,-28.7,63.25,83,100,22.59,PT,1609724149
hun,29.13,15.95,56.14,83,78,8.39,LY,1609724804
whitehorse,60.72,-135.05,5.0,84,75,8.05,CA,1609724714
roald,62.58,6.13,28.4,79,28,6.93,NO,1609724804
haines junction,60.75,-137.51,0.57,88,100,1.86,CA,1609724410
cockburn town,21.46,-71.14,76.86,76,32,18.92,TC,1609724410
provideniya,64.38,-173.3,-4.61,86,2,20.8,RU,1609724411
antigonish,45.62,-62.0,30.99,93,91,4.23,CA,1609724805
simpang,-1.27,104.08,76.82,89,100,4.23,ID,1609724805
bonavista,48.65,-53.11,28.4,92,99,3.36,CA,1609724411
schleiden,50.53,6.48,33.01,100,100,5.82,DE,1609724806
puerto escondido,15.85,-97.07,78.8,78,20,4.7,MX,1609724807
kaili,-3.46,120.21,76.32,80,100,1.21,ID,1609724807
luena,-11.78,19.92,62.82,97,100,3.69,AO,1609724807
grindavik,63.84,-22.43,33.8,100,75,31.09,IS,1609724413
cave spring,37.23,-80.01,44.01,75,75,11.41,US,1609724808
kavieng,-2.57,150.8,85.95,68,85,16.26,PG,1609724283
clyde river,70.47,-68.59,-25.6,74,1,3.36,CA,1609724358
weinan,34.5,109.51,37.99,74,45,6.71,CN,1609724763
alyangula,-13.85,136.42,86.0,74,90,10.29,AU,1609724414
gameleira,-8.58,-35.39,73.38,88,58,2.77,BR,1609724809
aklavik,68.22,-135.01,-20.2,75,100,3.36,CA,1609724415
rawson,-43.3,-65.1,62.67,59,16,14.52,AR,1609724387
